attendance,study_hours,previous_marks,assignment_score,internal_marks,sleep_hours,internet_hours,stress_level,parent_support,tuition,final_marks,grade,risk_level
63,5.2,37,83,37,6.0,2.4,8,Yes,No,61.41,C,Low
93,4.4,83,45,35,9.6,4.2,8,Yes,No,72.98,C,Low
95,1.5,89,47,37,6.0,0.1,2,Yes,Yes,79.38,B,Low
72,3.3,60,36,49,5.5,8.8,4,No,Yes,51.86,D,Medium
63,4.3,86,74,24,6.1,1.5,8,Yes,Yes,88.38,B,Low
91,0.9,41,65,15,6.6,8.6,1,No,No,37.14,F,High
50,2.2,80,70,36,7.4,3.3,8,Yes,Yes,57.89,D,Medium
88,6.0,80,71,47,8.6,3.7,3,No,Yes,84.1,B,Low
47,7.4,50,36,13,6.2,0.4,8,No,Yes,63.96,C,Low
75,10.0,58,44,20,8.7,3.3,6,Yes,Yes,77.15,B,Low
77,9.3,95,89,30,6.7,8.9,7,Yes,No,81.01,B,Low
79,6.4,88,69,39,5.4,0.3,2,Yes,Yes,100.0,A,Low
59,4.2,96,66,27,7.6,4.1,1,Yes,Yes,81.19,B,Low
74,6.4,35,95,44,8.0,0.3,6,Yes,Yes,94.24,A,Low
87,7.9,83,84,12,6.9,3.7,3,Yes,No,84.74,B,Low
64,1.2,59,85,21,3.4,1.7,4,Yes,No,59.44,D,Medium
74,4.1,44,73,36,4.2,2.5,9,No,Yes,56.57,D,Medium
64,8.4,50,86,39,5.0,8.8,3,Yes,Yes,94.26,A,Low
68,3.8,92,35,30,5.0,4.4,2,No,Yes,82.12,B,Low
57,5.7,63,61,47,7.7,2.7,2,Yes,Yes,88.81,B,Low
85,5.9,40,47,30,3.1,5.9,2,Yes,Yes,64.03,C,Low
57,1.8,50,97,47,8.3,1.4,6,Yes,Yes,95.53,A,Low
41,3.6,54,36,49,4.9,2.6,2,Yes,No,61.93,C,Low
93,3.3,77,37,24,5.2,5.5,7,No,No,51.98,D,Medium
74,0.3,60,93,27,6.7,2.4,7,No,Yes,57.03,D,Medium
55,0.2,67,36,38,4.5,6.8,7,Yes,Yes,30.61,F,High
100,8.3,60,70,47,9.2,4.9,2,No,Yes,99.54,A,Low
80,2.7,79,69,30,3.6,7.7,7,Yes,Yes,67.71,C,Low
75,5.2,97,32,26,6.1,9.5,10,No,Yes,59.15,D,Medium
72,3.0,86,46,50,8.9,1.2,8,Yes,No,83.59,B,Low
43,9.4,60,95,27,7.3,3.3,8,No,Yes,69.86,C,Low
72,2.6,36,81,46,5.0,3.2,2,No,No,77.35,B,Low
53,4.3,48,51,47,5.9,1.5,5,Yes,No,61.43,C,Low
60,8.7,64,33,21,7.9,8.1,6,Yes,No,66.52,C,Low
87,8.4,83,35,20,9.8,7.6,9,Yes,No,52.8,D,Medium
59,1.9,46,67,29,9.3,4.8,6,Yes,No,50.06,D,Medium
95,8.0,78,55,18,5.4,5.4,10,No,Yes,69.13,C,Low
47,4.6,67,40,10,10.0,0.6,6,No,No,32.45,F,High
46,4.8,47,46,12,3.0,5.6,10,No,Yes,18.87,F,High
42,1.3,60,60,30,3.2,7.9,10,Yes,No,22.78,F,High
56,0.8,55,64,32,8.8,5.7,6,Yes,Yes,47.3,D,Medium
72,7.3,62,45,18,4.4,2.7,9,Yes,Yes,56.38,D,Medium
87,5.0,82,47,28,3.4,6.7,10,No,Yes,47.13,D,Medium
51,4.4,74,91,28,4.7,3.6,7,Yes,Yes,77.3,B,Low
98,7.3,100,56,32,6.0,5.4,1,Yes,Yes,100.0,A,Low
90,7.7,57,64,36,8.1,4.9,1,Yes,No,100.0,A,Low
61,1.6,82,74,36,7.4,3.8,4,Yes,Yes,86.58,B,Low
94,6.1,36,64,48,4.7,7.2,2,Yes,No,72.67,C,Low
61,1.4,54,57,45,6.5,8.8,3,Yes,Yes,60.37,C,Low
85,7.5,93,38,21,9.5,0.1,7,No,Yes,80.2,B,Low
69,6.6,80,44,36,8.7,9.3,7,Yes,Yes,92.9,A,Low
77,9.6,37,50,43,5.3,5.1,3,No,Yes,86.35,B,Low
77,0.7,89,81,42,9.9,7.0,2,Yes,Yes,87.23,B,Low
84,0.6,46,64,37,8.0,8.6,1,No,Yes,38.7,F,High
90,2.8,74,80,40,3.4,4.7,9,Yes,Yes,70.0,C,Low
93,2.6,100,84,41,3.2,8.3,10,No,No,52.71,D,Medium
47,2.5,50,73,29,4.2,1.8,3,No,Yes,63.06,C,Low
66,9.1,68,94,49,8.1,1.6,9,Yes,No,100.0,A,Low
66,2.5,78,54,44,4.3,6.6,4,No,No,56.49,D,Medium
73,2.7,40,76,40,6.6,8.7,10,Yes,No,35.63,F,High
60,7.6,98,85,40,3.7,8.9,6,No,No,74.38,C,Low
69,4.5,56,67,47,9.4,6.4,7,Yes,Yes,85.1,B,Low
72,7.8,52,40,31,5.4,5.3,10,No,No,48.11,D,Medium
67,0.7,46,96,50,9.4,3.3,6,No,Yes,85.77,B,Low
86,4.9,86,44,18,9.6,9.8,1,Yes,Yes,71.79,C,Low
72,0.3,85,30,18,3.0,3.2,6,Yes,No,49.0,D,Medium
44,0.6,82,36,24,6.2,7.4,6,No,No,37.15,F,High
99,9.1,53,30,22,3.2,5.3,5,No,No,49.89,D,Medium
100,1.4,40,78,31,9.4,6.1,3,No,Yes,48.34,D,Medium
87,5.3,61,58,25,6.6,3.9,10,Yes,Yes,54.87,D,Medium
58,4.1,87,55,41,3.5,9.6,3,Yes,No,50.2,D,Medium
43,3.5,82,74,11,3.8,5.7,10,Yes,No,31.6,F,High
74,9.0,41,100,35,5.7,9.4,7,Yes,Yes,74.17,C,Low
88,0.2,93,41,23,9.6,0.1,8,Yes,Yes,69.24,C,Low
56,6.6,45,61,47,7.9,5.7,3,Yes,No,82.24,B,Low
83,9.6,49,49,43,9.1,7.2,3,Yes,No,91.34,A,Low
67,5.6,98,80,17,5.6,7.5,7,Yes,Yes,74.39,C,Low
69,9.4,37,65,45,3.3,9.0,10,Yes,No,65.62,C,Low
68,0.5,57,96,30,9.8,0.0,7,No,Yes,79.96,B,Low
85,4.2,87,30,37,3.1,0.0,9,Yes,No,69.49,C,Low
92,2.6,71,56,15,9.6,4.7,6,Yes,Yes,40.06,D,Medium
45,7.3,43,69,29,5.6,0.3,7,Yes,Yes,79.62,B,Low
74,9.8,49,43,40,3.1,9.7,10,Yes,No,73.15,C,Low
99,2.6,37,98,42,7.8,2.2,1,No,Yes,94.06,A,Low
80,6.5,51,35,16,9.9,4.7,7,Yes,No,67.54,C,Low
76,2.0,60,62,17,9.8,0.6,2,No,No,65.96,C,Low
63,5.7,55,84,18,4.1,5.2,7,Yes,No,61.31,C,Low
68,4.6,55,48,11,4.3,3.8,3,No,Yes,62.21,C,Low
88,9.7,45,58,26,7.0,0.4,9,Yes,No,79.03,B,Low
85,6.1,72,90,46,7.5,3.4,5,Yes,No,92.59,A,Low
92,3.5,69,99,26,8.2,3.9,7,No,No,69.59,C,Low
70,1.1,48,53,47,4.3,9.9,8,Yes,Yes,43.55,D,Medium
74,1.5,48,52,44,9.7,2.1,2,No,Yes,51.56,D,Medium
99,2.3,44,39,48,7.5,5.4,1,Yes,Yes,73.54,C,Low
72,2.5,46,83,39,8.9,9.9,7,No,Yes,31.07,F,High
91,8.5,72,70,15,6.8,7.9,6,No,No,63.72,C,Low
100,5.6,68,78,13,5.9,9.9,6,No,Yes,64.82,C,Low
60,5.2,75,46,46,9.8,9.7,2,Yes,No,71.56,C,Low
71,1.1,44,85,44,7.1,4.9,3,Yes,Yes,66.26,C,Low
62,8.6,51,74,18,9.1,7.0,4,No,Yes,77.05,B,Low
72,7.2,51,59,15,9.7,1.1,3,No,Yes,88.95,B,Low
42,0.7,96,73,22,7.7,4.4,2,Yes,No,70.9,C,Low
57,7.1,35,84,31,6.8,8.1,3,Yes,Yes,71.6,C,Low
64,5.4,46,48,37,3.0,5.1,6,Yes,Yes,64.11,C,Low
81,0.8,38,58,39,3.3,7.0,9,No,No,27.91,F,High
70,4.6,76,31,45,4.4,7.5,4,Yes,Yes,63.12,C,Low
93,4.8,47,65,11,4.3,2.5,6,Yes,No,40.04,D,Medium
97,1.7,38,48,45,4.8,8.8,1,Yes,No,46.87,D,Medium
42,9.5,53,36,17,5.1,4.6,6,No,Yes,71.26,C,Low
79,8.5,36,55,18,5.5,2.1,3,No,No,88.66,B,Low
85,6.7,46,67,10,5.9,8.7,9,Yes,No,38.62,F,High
63,4.6,40,32,22,3.7,4.2,4,Yes,Yes,61.7,C,Low
89,4.1,42,95,24,3.3,7.5,7,No,Yes,43.07,D,Medium
71,6.5,85,100,41,7.7,5.5,4,No,No,94.34,A,Low
86,5.5,45,72,43,6.8,3.8,6,Yes,No,71.39,C,Low
61,0.6,97,91,40,6.1,8.1,7,No,Yes,63.37,C,Low
62,5.1,91,100,23,7.4,5.8,2,Yes,Yes,83.29,B,Low
41,8.1,46,53,23,8.8,3.9,10,No,No,45.06,D,Medium
66,4.6,36,68,38,6.0,1.1,6,Yes,Yes,73.12,C,Low
81,0.5,42,97,28,7.5,9.0,8,Yes,No,40.23,D,Medium
41,7.9,45,73,36,9.7,0.4,6,No,No,84.31,B,Low
65,2.0,87,34,18,8.9,8.6,2,Yes,Yes,50.55,D,Medium
56,2.6,44,84,46,6.0,3.6,4,Yes,Yes,65.2,C,Low
79,1.6,42,59,46,7.5,6.4,1,Yes,No,51.5,D,Medium
72,3.3,70,58,37,4.2,9.2,7,Yes,Yes,46.95,D,Medium
48,7.6,48,55,33,6.9,1.5,8,No,Yes,69.18,C,Low
82,5.2,88,55,37,9.9,5.7,10,Yes,No,74.73,C,Low
93,2.0,55,66,45,6.6,7.6,2,Yes,No,57.21,D,Medium
87,8.8,84,82,27,9.5,7.6,10,Yes,No,83.65,B,Low
78,8.8,73,59,34,5.9,5.3,5,Yes,Yes,85.35,B,Low
68,8.7,54,32,44,10.0,6.2,8,Yes,No,71.39,C,Low
81,2.4,41,72,13,7.1,7.6,8,No,Yes,38.89,F,High
94,4.5,43,36,23,3.3,8.4,5,Yes,No,19.63,F,High
65,9.8,35,78,48,7.1,7.6,8,No,No,62.69,C,Low
74,7.7,60,70,35,4.9,3.5,6,Yes,No,80.87,B,Low
89,0.3,72,83,17,3.2,10.0,5,Yes,No,32.21,F,High
64,0.7,72,98,33,8.7,4.3,4,Yes,Yes,58.08,D,Medium
63,4.6,95,56,25,4.9,0.2,5,Yes,No,74.95,C,Low
52,9.1,78,37,29,8.6,3.6,4,No,No,90.96,A,Low
99,5.4,78,61,24,5.0,1.3,1,Yes,No,80.9,B,Low
97,5.0,96,93,16,4.4,1.2,3,Yes,Yes,100.0,A,Low
46,1.1,40,39,26,9.8,2.8,8,No,No,25.67,F,High
96,6.6,51,42,31,5.5,0.5,7,Yes,Yes,63.62,C,Low
75,8.2,85,92,31,7.2,6.9,7,Yes,No,91.15,A,Low
84,3.8,72,64,21,7.3,0.7,3,No,Yes,79.51,B,Low
59,7.8,58,90,27,6.9,2.0,9,Yes,No,64.77,C,Low
40,9.6,85,83,24,9.4,0.9,6,No,No,90.41,A,Low
47,2.0,44,37,46,7.7,0.6,8,Yes,Yes,73.1,C,Low
85,5.2,55,58,25,5.8,2.7,8,Yes,No,65.87,C,Low
55,2.9,91,70,14,9.0,5.7,3,Yes,Yes,76.22,B,Low
53,7.9,73,59,11,4.3,9.6,4,Yes,No,45.19,D,Medium
51,5.8,67,50,37,6.8,8.8,6,Yes,No,68.15,C,Low
90,6.3,93,40,50,9.7,8.8,2,Yes,Yes,86.76,B,Low
62,8.0,52,31,36,7.4,1.8,7,No,Yes,63.66,C,Low
54,4.0,90,79,40,8.7,2.6,2,No,No,96.13,A,Low
67,9.2,91,70,50,7.6,0.8,5,Yes,Yes,100.0,A,Low
73,5.3,82,95,45,8.9,7.8,4,Yes,No,100.0,A,Low
41,1.6,76,32,10,9.6,0.7,9,Yes,No,29.88,F,High
71,7.0,61,80,38,4.9,5.6,2,No,Yes,77.32,B,Low
62,7.9,86,97,10,4.2,2.5,7,Yes,No,85.88,B,Low
61,3.2,76,54,17,6.4,2.4,7,Yes,Yes,52.88,D,Medium
90,8.6,66,59,25,7.9,9.9,7,Yes,Yes,76.46,B,Low
64,9.1,60,40,37,4.6,7.6,1,No,Yes,71.69,C,Low
97,2.8,59,46,31,3.0,8.4,8,Yes,Yes,38.54,F,High
100,9.8,57,55,27,5.4,5.7,2,Yes,No,95.28,A,Low
61,1.4,91,52,31,9.8,8.7,5,Yes,No,46.73,D,Medium
97,2.0,86,85,50,7.9,6.5,2,No,No,91.13,A,Low
97,1.8,65,81,21,5.8,9.5,5,No,No,36.62,F,High
61,8.9,98,77,28,4.3,2.8,7,No,Yes,90.26,A,Low
88,6.5,67,49,34,5.5,6.0,6,No,Yes,60.73,C,Low
91,1.5,36,31,14,4.2,6.9,5,Yes,No,17.44,F,High
81,4.4,52,60,43,3.7,3.9,4,Yes,No,64.2,C,Low
45,6.2,81,56,48,9.3,8.8,8,No,Yes,63.93,C,Low
54,0.8,67,31,19,10.0,9.8,8,Yes,No,33.87,F,High
93,8.8,69,33,16,4.1,4.9,1,Yes,Yes,92.42,A,Low
82,8.0,85,42,46,3.4,3.9,10,No,Yes,80.76,B,Low
99,5.1,52,64,24,5.3,4.7,2,No,No,60.98,C,Low
76,9.7,64,95,33,6.2,8.5,3,No,Yes,83.01,B,Low
72,4.2,78,35,35,4.4,6.5,1,No,Yes,60.09,C,Low
47,9.8,87,60,35,5.1,0.4,3,Yes,No,100.0,A,Low
92,6.7,44,39,35,4.4,5.4,10,No,No,49.94,D,Medium
99,6.3,86,50,19,8.4,0.2,8,Yes,No,86.26,B,Low
83,1.7,83,52,26,8.0,7.8,4,No,Yes,53.77,D,Medium
83,8.8,45,32,23,7.4,3.3,7,Yes,Yes,77.22,B,Low
44,4.3,100,61,11,5.7,4.7,7,Yes,Yes,65.39,C,Low
78,1.6,92,49,22,9.4,8.0,5,No,No,44.33,D,Medium
43,0.1,70,58,36,9.8,0.5,1,Yes,No,82.79,B,Low
45,5.6,67,81,18,4.2,1.6,10,Yes,No,47.68,D,Medium
84,5.3,81,75,16,4.6,4.0,4,Yes,No,76.29,B,Low
71,7.2,47,63,19,6.7,2.3,7,Yes,Yes,70.61,C,Low
91,8.9,74,90,18,3.6,3.4,5,Yes,Yes,92.05,A,Low
69,0.8,76,100,31,6.1,10.0,2,Yes,Yes,57.16,D,Medium
86,7.3,53,99,32,7.1,8.3,8,Yes,No,78.88,B,Low
74,1.9,53,40,16,6.7,8.8,2,Yes,Yes,36.42,F,High
94,8.6,92,92,18,5.3,9.4,8,No,Yes,81.85,B,Low
79,8.2,57,50,36,6.8,3.4,2,Yes,Yes,100.0,A,Low
91,5.4,88,32,33,9.7,3.0,5,Yes,No,88.01,B,Low
55,7.1,99,39,38,4.4,2.3,4,No,No,82.3,B,Low
52,3.1,46,56,26,7.6,8.3,1,Yes,No,44.25,D,Medium
89,4.7,58,41,29,3.3,6.8,8,Yes,No,29.15,F,High
99,8.2,68,36,16,3.5,2.4,10,No,No,60.42,C,Low
81,4.6,87,46,49,6.9,3.8,3,No,Yes,80.71,B,Low
69,3.6,42,94,16,3.7,5.1,4,No,Yes,41.78,D,Medium
58,4.9,52,93,37,3.2,5.3,4,No,No,67.66,C,Low
56,8.3,91,55,28,4.2,8.9,5,Yes,Yes,70.81,C,Low
95,3.4,39,44,29,7.0,3.8,3,No,Yes,61.99,C,Low
58,1.7,60,62,48,7.9,9.1,9,No,Yes,45.98,D,Medium
67,7.1,64,91,49,4.4,4.4,4,No,Yes,100.0,A,Low
97,8.3,88,76,16,7.7,7.5,10,Yes,Yes,74.34,C,Low
94,1.0,47,64,15,4.3,9.3,4,No,Yes,23.8,F,High
65,2.4,63,94,34,7.3,9.1,6,Yes,No,52.05,D,Medium
76,1.4,37,54,50,5.9,0.6,8,No,No,48.63,D,Medium
65,3.5,92,86,22,7.6,2.1,7,Yes,Yes,91.44,A,Low
92,4.5,36,61,48,10.0,4.8,4,No,No,76.58,B,Low
62,7.5,62,92,49,9.6,4.3,4,Yes,No,100.0,A,Low
48,6.5,36,41,31,3.0,6.4,5,Yes,No,59.62,D,Medium
51,6.2,41,92,26,9.2,9.4,10,No,Yes,38.27,F,High
92,3.5,60,30,31,3.5,1.1,5,Yes,Yes,54.99,D,Medium
40,8.4,50,80,43,9.7,4.5,1,Yes,No,99.02,A,Low
97,4.7,57,99,17,5.0,1.9,8,Yes,No,53.81,D,Medium
97,9.8,74,37,27,5.7,8.9,10,No,Yes,58.56,D,Medium
40,6.3,94,97,33,3.6,9.6,5,Yes,Yes,56.07,D,Medium
86,1.3,66,34,11,3.8,4.8,3,Yes,No,28.69,F,High
73,6.8,49,68,11,8.1,1.0,3,Yes,Yes,90.98,A,Low
71,3.3,47,52,36,9.6,7.9,4,No,Yes,58.84,D,Medium
93,6.9,39,97,23,7.3,7.0,7,Yes,Yes,82.78,B,Low
87,0.7,86,81,48,8.0,3.5,5,Yes,Yes,83.15,B,Low
64,1.7,75,33,21,8.3,8.9,1,Yes,Yes,51.24,D,Medium
79,8.6,87,76,41,4.8,9.8,5,Yes,Yes,90.07,A,Low
84,2.3,84,50,37,3.3,5.6,5,No,Yes,87.36,B,Low
92,8.4,49,85,37,3.0,5.7,6,No,Yes,85.97,B,Low
40,2.8,41,95,34,5.5,3.0,7,Yes,Yes,51.43,D,Medium
55,6.4,74,88,13,4.7,5.8,5,Yes,Yes,70.76,C,Low
100,6.9,62,36,35,3.4,4.4,2,Yes,Yes,85.72,B,Low
78,5.1,66,78,45,4.3,3.0,2,No,Yes,95.22,A,Low
44,3.1,49,45,12,3.9,0.7,4,Yes,Yes,64.99,C,Low
61,2.1,99,46,10,9.4,2.5,1,No,Yes,73.5,C,Low
68,0.3,38,63,26,4.0,2.0,7,Yes,Yes,37.53,F,High
94,3.0,45,62,16,6.8,5.4,1,Yes,No,72.71,C,Low
42,6.5,60,55,14,7.2,6.0,3,Yes,Yes,53.55,D,Medium
51,9.4,95,95,28,6.8,6.1,10,No,No,74.33,C,Low
65,8.7,71,92,48,3.7,3.9,7,No,Yes,99.56,A,Low
55,7.7,57,70,43,5.2,4.2,6,Yes,No,73.93,C,Low
90,7.9,74,87,44,3.4,8.3,7,Yes,Yes,83.54,B,Low
76,6.6,57,39,25,5.8,4.8,5,Yes,No,58.29,D,Medium
61,2.6,50,44,49,4.3,9.9,8,No,Yes,35.14,F,High
96,9.1,95,71,48,6.9,4.4,6,Yes,No,100.0,A,Low
68,6.7,65,86,36,7.8,6.5,4,Yes,Yes,87.38,B,Low
53,5.6,87,46,50,6.7,0.5,1,Yes,No,100.0,A,Low
67,1.1,59,89,47,6.0,6.5,2,No,Yes,77.52,B,Low
44,4.5,78,38,34,5.7,8.5,6,Yes,No,53.38,D,Medium
86,4.6,46,65,35,8.9,9.4,4,Yes,No,66.86,C,Low
88,8.6,43,65,23,4.5,10.0,3,Yes,No,64.7,C,Low
69,5.5,46,77,23,8.1,2.8,7,No,No,56.52,D,Medium
85,3.8,88,80,23,8.3,5.8,7,Yes,Yes,73.28,C,Low
91,9.8,88,99,34,5.9,4.5,2,Yes,Yes,100.0,A,Low
44,1.1,62,97,45,5.1,5.6,8,Yes,Yes,36.28,F,High
51,4.2,90,51,13,6.3,1.6,1,Yes,Yes,78.67,B,Low
55,0.4,92,35,24,3.7,8.6,10,Yes,Yes,29.28,F,High
65,7.4,76,55,41,3.3,9.1,7,No,Yes,57.72,D,Medium
65,9.2,72,32,27,3.8,4.5,10,Yes,No,69.14,C,Low
87,2.8,87,81,23,4.3,2.8,1,Yes,Yes,86.14,B,Low
60,8.6,67,89,10,6.5,1.4,3,Yes,Yes,88.88,B,Low
78,2.9,90,92,29,8.9,6.8,3,Yes,Yes,85.29,B,Low
75,9.1,85,94,19,4.6,3.1,10,Yes,No,76.55,B,Low
72,7.5,77,81,19,9.5,9.1,2,No,Yes,81.21,B,Low
69,8.0,49,43,33,9.7,6.7,10,Yes,Yes,62.17,C,Low
76,0.2,72,97,43,9.7,6.5,5,No,No,66.19,C,Low
62,9.6,49,57,37,8.9,5.6,4,Yes,Yes,100.0,A,Low
97,7.3,39,100,36,5.5,0.5,6,Yes,No,87.56,B,Low
49,3.0,88,39,49,3.5,9.3,2,Yes,No,69.17,C,Low
93,8.3,85,86,10,7.0,6.3,4,Yes,Yes,84.21,B,Low
44,2.8,44,95,42,6.9,9.9,7,Yes,No,42.97,D,Medium
75,8.7,46,79,13,8.9,5.4,1,Yes,No,79.64,B,Low
73,1.1,38,43,16,10.0,7.1,3,Yes,Yes,27.2,F,High
91,7.0,52,45,18,6.6,0.6,1,Yes,Yes,92.95,A,Low
70,5.4,70,83,25,5.4,6.3,2,Yes,No,76.32,B,Low
49,1.0,59,72,14,4.3,7.6,9,Yes,No,20.1,F,High
97,2.4,70,71,43,3.0,7.8,10,No,Yes,58.59,D,Medium
58,0.1,43,51,32,6.6,7.7,5,Yes,No,44.87,D,Medium
97,4.7,95,97,34,6.9,2.3,4,Yes,Yes,100.0,A,Low
71,3.0,87,48,22,8.8,9.8,4,Yes,No,50.37,D,Medium
40,6.0,52,95,33,6.5,10.0,8,No,No,43.86,D,Medium
95,3.0,77,68,20,9.4,0.8,3,Yes,Yes,77.4,B,Low
44,3.0,69,48,26,7.4,9.4,4,No,No,39.59,F,High
84,7.4,97,45,46,8.9,2.9,2,Yes,No,100.0,A,Low
43,0.5,38,83,22,4.0,6.9,6,Yes,Yes,33.71,F,High
55,9.0,75,54,36,9.0,3.4,9,Yes,No,75.1,B,Low
63,8.5,79,47,29,7.7,9.7,4,No,Yes,69.26,C,Low
55,6.7,84,52,42,4.2,1.0,6,No,No,68.09,C,Low
94,5.9,62,40,41,4.3,5.0,4,No,No,64.12,C,Low
41,8.9,76,68,17,9.5,4.3,2,Yes,Yes,99.99,A,Low
88,1.9,35,97,38,3.2,3.3,6,No,No,43.24,D,Medium
67,0.8,73,54,49,6.2,6.5,7,Yes,Yes,70.85,C,Low
71,2.4,51,92,28,5.2,1.3,4,No,No,70.37,C,Low
66,7.9,69,59,15,7.7,7.2,7,Yes,Yes,69.06,C,Low
59,0.3,80,74,48,8.9,9.8,8,No,Yes,58.17,D,Medium
63,5.8,76,90,50,5.5,8.0,3,No,No,80.23,B,Low
51,10.0,73,80,30,6.0,8.6,2,Yes,No,82.15,B,Low
89,8.6,83,38,31,9.9,3.6,5,Yes,Yes,97.43,A,Low
74,5.2,96,31,19,8.5,3.2,2,Yes,No,66.3,C,Low
99,0.6,72,34,19,9.3,5.2,10,Yes,No,44.53,D,Medium
72,8.3,57,91,38,6.1,0.5,5,Yes,No,96.71,A,Low
72,6.0,56,98,25,4.6,9.5,10,No,Yes,39.31,F,High
100,1.1,38,81,10,5.9,1.4,6,Yes,Yes,44.23,D,Medium
90,0.9,83,34,26,8.0,9.0,8,Yes,Yes,40.03,D,Medium
82,9.1,93,88,39,3.8,0.8,6,Yes,No,100.0,A,Low
76,6.7,36,97,35,4.9,8.2,4,Yes,Yes,71.08,C,Low
51,8.3,83,38,28,3.3,1.5,3,Yes,No,84.65,B,Low
42,8.8,65,51,30,6.0,0.4,2,Yes,No,98.6,A,Low
40,5.7,74,56,26,8.8,7.2,1,Yes,Yes,67.71,C,Low
72,5.2,82,39,49,3.2,2.8,2,Yes,Yes,94.0,A,Low
79,4.3,85,90,30,7.7,7.1,2,No,No,73.81,C,Low
49,3.2,77,80,50,9.5,5.6,5,Yes,No,63.02,C,Low
82,4.3,89,39,49,4.7,1.1,9,No,Yes,67.53,C,Low
83,7.7,83,35,28,7.9,9.3,1,No,No,68.71,C,Low
68,6.0,91,91,16,9.8,4.5,4,Yes,Yes,100.0,A,Low
52,8.9,49,34,26,9.7,7.3,10,Yes,No,57.42,D,Medium
51,4.4,61,99,10,4.6,5.0,7,Yes,No,50.42,D,Medium
70,6.1,98,92,46,3.7,6.0,10,No,Yes,72.95,C,Low
85,6.3,64,85,15,4.0,3.0,3,Yes,Yes,76.05,B,Low
41,5.9,70,88,35,7.9,2.0,8,No,No,63.74,C,Low
100,7.0,83,92,11,8.1,5.4,3,Yes,Yes,87.44,B,Low
90,2.4,89,88,41,7.7,4.4,8,Yes,No,85.55,B,Low
89,5.1,90,80,14,5.4,3.9,2,Yes,Yes,73.96,C,Low
74,1.0,78,79,46,4.2,6.7,5,Yes,No,56.26,D,Medium
62,3.8,65,33,40,7.1,6.9,4,Yes,No,67.41,C,Low
56,4.9,92,77,21,6.4,0.5,9,Yes,No,78.84,B,Low
65,6.5,87,61,44,8.1,3.4,3,No,Yes,91.84,A,Low
47,9.5,57,80,39,6.1,4.1,5,No,Yes,98.26,A,Low
68,6.0,62,81,15,5.4,1.0,10,Yes,No,57.12,D,Medium
65,7.4,50,63,24,5.1,2.4,9,Yes,Yes,57.31,D,Medium
49,5.1,71,65,24,4.5,0.5,6,Yes,No,80.94,B,Low
65,6.3,55,99,25,4.9,10.0,2,No,No,61.34,C,Low
73,0.7,51,72,29,3.7,7.4,1,Yes,Yes,50.06,D,Medium
90,2.5,71,45,22,5.4,0.9,1,Yes,Yes,77.75,B,Low
80,3.6,53,88,40,3.3,0.2,7,Yes,Yes,69.09,C,Low
46,4.7,64,82,43,4.3,7.2,2,Yes,Yes,72.05,C,Low
43,0.5,79,48,38,8.2,4.4,7,No,No,56.85,D,Medium
97,1.4,52,70,12,5.3,7.9,1,No,No,54.52,D,Medium
92,2.8,96,76,18,7.7,9.2,4,Yes,Yes,55.44,D,Medium
89,9.7,70,83,20,8.0,6.0,10,No,No,67.64,C,Low
84,3.3,86,84,20,7.1,1.9,4,No,Yes,77.34,B,Low
50,4.8,53,48,34,9.7,7.8,5,Yes,Yes,62.76,C,Low
68,2.0,78,91,31,3.2,9.6,10,No,Yes,27.6,F,High
95,6.1,41,88,18,8.2,5.8,1,Yes,No,81.85,B,Low
75,2.8,78,94,29,9.7,6.8,7,Yes,No,69.91,C,Low
64,2.1,68,97,30,9.0,3.4,2,Yes,No,84.6,B,Low
60,5.2,100,57,19,4.2,3.8,2,No,Yes,81.42,B,Low
100,0.1,89,47,31,5.3,7.3,8,Yes,Yes,46.45,D,Medium
96,0.1,44,55,38,4.2,9.3,9,No,No,27.27,F,High
75,2.2,76,48,18,7.2,6.3,6,Yes,Yes,53.65,D,Medium
49,0.4,75,84,14,8.0,7.9,1,Yes,Yes,40.53,D,Medium
76,1.1,44,86,49,5.2,1.7,1,No,No,61.84,C,Low
48,3.4,44,35,20,6.8,2.1,7,No,Yes,43.92,D,Medium
63,8.0,94,30,10,7.8,5.3,8,Yes,Yes,76.39,B,Low
74,5.7,85,37,10,5.9,1.8,3,Yes,Yes,79.22,B,Low
88,5.1,55,80,48,9.0,6.3,9,Yes,No,76.86,B,Low
74,2.9,42,54,14,8.4,2.9,4,Yes,No,43.38,D,Medium
87,9.3,99,76,31,3.5,7.9,4,No,Yes,90.79,A,Low
75,4.0,64,84,35,7.3,8.1,3,Yes,Yes,82.59,B,Low
57,0.9,83,93,15,4.6,4.6,8,Yes,Yes,49.62,D,Medium
88,6.2,43,39,41,6.9,1.8,9,Yes,Yes,73.49,C,Low
78,1.1,51,85,20,9.7,6.5,1,Yes,No,62.95,C,Low
71,3.5,92,41,19,9.2,9.9,2,Yes,Yes,63.71,C,Low
63,5.1,91,62,48,5.8,6.2,1,Yes,Yes,100.0,A,Low
62,8.7,96,100,43,5.0,0.4,4,No,No,100.0,A,Low
71,4.9,86,46,40,4.6,0.2,10,No,Yes,71.4,C,Low
76,7.0,95,90,21,6.7,3.2,7,Yes,No,76.67,B,Low
51,9.9,74,39,25,3.8,2.0,7,Yes,Yes,91.17,A,Low
88,1.3,72,60,47,6.8,8.1,6,Yes,Yes,53.63,D,Medium
